global_step,train/success
400,0.0
800,0.0
1200,0.0
1600,0.0
2000,0.0
2400,0.0
2800,0.0
3200,0.0
3600,0.0
4000,0.0
4400,0.0
4800,0.0
5200,0.0
5600,0.0
6000,0.0
6400,0.0
6800,0.0
7200,0.0
7600,0.0
8000,0.0
8400,0.0
8800,0.0
9200,0.0
9600,0.0
10000,0.0
10400,0.0
10800,0.0
11200,0.0
11600,0.0
12000,0.0
12400,0.0
12800,0.0
13200,0.0
13600,0.0
14000,0.0
14400,0.0
14800,0.0
15200,0.0
15600,0.0
16000,0.0
16400,0.0
16800,0.0
17200,0.0
17600,0.0
18000,0.0
18400,0.0
18800,0.0
19200,0.0
19600,0.0
20000,0.0
20400,0.0
20800,0.0
21200,0.0
21600,0.0
22000,0.0
22400,0.0
22800,0.0
23200,0.0
23600,0.0
24000,0.0
24400,0.0
24800,0.0
25200,0.0
25600,0.0
26000,0.0
26400,0.0
26800,0.0
27200,0.0
27600,0.0
28000,0.0
28400,0.0
28800,0.0
29200,0.0
29600,0.0
30000,0.0
30400,0.0
30800,0.0
31200,0.0
31600,0.0
32000,0.0
32400,0.0
32800,0.0
33200,0.0
33600,0.0
34000,0.0
34400,0.0
34800,0.0
35200,0.0
35600,0.0
36000,0.0
36400,0.0
36800,0.0
37200,0.0
37600,0.0
38000,0.0
38400,0.0
38800,0.0
39200,0.0
39600,0.0
40000,0.0
40400,0.0
40800,0.0
41200,0.0
41600,0.0
42000,0.0
42400,0.0
42800,0.0
43200,0.0
43600,0.0
44000,0.0
44400,0.0
44800,0.0
45200,0.0
45600,0.0
46000,0.0
46400,0.0
46800,0.0
47200,0.0
47600,0.0
48000,0.0
48400,0.0
48800,0.0
49200,0.0
49600,0.0
50000,0.0
50400,0.0
50800,0.0
51200,0.0
51600,0.0
52000,0.0
52400,0.0
52800,0.0
53200,0.0
53600,0.0
54000,0.0
54400,0.0
54800,0.0
55200,0.0
55600,0.0
56000,0.0
56400,0.0
56800,0.0
57200,0.0
57600,0.0
58000,0.0
58400,0.0
58800,0.0
59200,0.0
59600,0.0
60000,0.0
